First,Last,First Last,BIS_Number
Troy,Tulowitzki,Troy Tulowitzki,3531
Eli,Whiteside,Eli Whiteside,3536
Rene,Rivera,Rene Rivera,3648
Skip,Schumaker,Skip Schumaker,3704
Geovany,Soto,Geovany Soto,3707
Rajai,Davis,Rajai Davis,3708
David,Wright,David Wright,3787
J.J.,Hardy,J.J. Hardy,3797
Gregorio,Petit,Gregorio Petit,3812
Joaquin,Arias,Joaquin Arias,3817
Chris,Stewart,Chris Stewart,3878
Chris B.,Young,Chris B. Young,3882
Josh,Reddick,Josh Reddick,3892
Dayan,Viciedo,Dayan Viciedo,3917
Chris,Heisey,Chris Heisey,3978
Justin,Sellers,Justin Sellers,4006
Jerry,Sands,Jerry Sands,4016
Melky,Cabrera,Melky Cabrera,4022
Emilio,Bonifacio,Emilio Bonifacio,4054
Dexter,Fowler,Dexter Fowler,4062
Anthony,Recker,Anthony Recker,4063
Erick,Aybar,Erick Aybar,4082
Michael,Brantley,Michael Brantley,4106
Yunel,Escobar,Yunel Escobar,4191
Ryan,Zimmerman,Ryan Zimmerman,4220
Howie,Kendrick,Howie Kendrick,4229
Jose,Lobaton,Jose Lobaton,4243
Shane,Robinson,Shane Robinson,4249
Stephen,Drew,Stephen Drew,4251
Matt,Wieters,Matt Wieters,4298
Joey,Votto,Joey Votto,4314
Daniel,Murphy,Daniel Murphy,4316
Scott,VanSlyke,Scott VanSlyke,4365
Scott,Moore,Scott Moore,4390
Chris,Denorfia,Chris Denorfia,4400
Erik,Kratz,Erik Kratz,4403
Jed,Lowrie,Jed Lowrie,4418
Steve,Tolleson,Steve Tolleson,4450
Brandon,Moss,Brandon Moss,4467
James,Loney,James Loney,4556
Starlin,Castro,Starlin Castro,4579
Nick,Swisher,Nick Swisher,4599
Prince,Fielder,Prince Fielder,4613
Russell,Martin,Russell Martin,4616
Junior,Lake,Junior Lake,4672
Ben,Revere,Ben Revere,4712
Brian,Bogusevic,Brian Bogusevic,4719
Chase,Headley,Chase Headley,4720
Jacoby,Ellsbury,Jacoby Ellsbury,4727
Curtis,Granderson,Curtis Granderson,4747
Rymer,Liriano,Rymer Liriano,4779
Jeff,Francoeur,Jeff Francoeur,4792
Travis,Ishikawa,Travis Ishikawa,4793
Brian,McCann,Brian McCann,4810
Jarrod,Dyson,Jarrod Dyson,4866
Carlos,Gomez,Carlos Gomez,4881
Mike,Moustakas,Mike Moustakas,4892
Matt,Dominguez,Matt Dominguez,4903
Ender,Inciarte,Ender Inciarte,4922
Jason,Heyward,Jason Heyward,4940
Giancarlo,Stanton,Giancarlo Stanton,4949
Ryan,Hanigan,Ryan Hanigan,4952
